Temperature (Celsius),Resistance (ohms),Sensitivity (ohms-per-degree)
-178.30000000000123,27.8192,0.4249
-178.20000000000124,27.8617,0.4249
-178.10000000000124,27.9042,0.4248
-178.00000000000125,27.9467,0.4248
-177.90000000000126,27.9892,0.4248
-177.80000000000126,28.0316,0.4247
-177.70000000000127,28.0741,0.4247
-177.60000000000127,28.1166,0.4247
-177.50000000000128,28.1590,0.4246
-177.40000000000128,28.2015,0.4246
-177.3000000000013,28.2440,0.4246
-177.2000000000013,28.2864,0.4245
-177.1000000000013,28.3289,0.4245
-177.0000000000013,28.3713,0.4245
-176.9000000000013,28.4138,0.4245
-176.80000000000132,28.4562,0.4244
-176.70000000000132,28.4986,0.4244
-176.60000000000133,28.5411,0.4244
-176.50000000000134,28.5835,0.4243
-176.40000000000134,28.6260,0.4243
-176.30000000000135,28.6684,0.4243
-176.20000000000135,28.7108,0.4242
-176.10000000000136,28.7532,0.4242
-176.00000000000136,28.7956,0.4242
-175.90000000000137,28.8381,0.4241
-175.80000000000138,28.8805,0.4241
-175.70000000000138,28.9229,0.4241
-175.6000000000014,28.9653,0.4240
-175.5000000000014,29.0077,0.4240
-175.4000000000014,29.0501,0.4240
-175.3000000000014,29.0925,0.4239
-175.2000000000014,29.1349,0.4239
-175.10000000000142,29.1773,0.4239
-175.00000000000142,29.2197,0.4239
-174.90000000000143,29.2620,0.4238
-174.80000000000143,29.3044,0.4238
-174.70000000000144,29.3468,0.4238
-174.60000000000144,29.3892,0.4237
-174.50000000000145,29.4315,0.4237
-174.40000000000146,29.4739,0.4237
-174.30000000000146,29.5163,0.4236
-174.20000000000147,29.5586,0.4236
-174.10000000000147,29.6010,0.4236
-174.00000000000148,29.6434,0.4235
-173.90000000000148,29.6857,0.4235
-173.8000000000015,29.7281,0.4235
-173.7000000000015,29.7704,0.4234
-173.6000000000015,29.8127,0.4234
-173.5000000000015,29.8551,0.4234
-173.4000000000015,29.8974,0.4234
-173.30000000000152,29.9398,0.4233
-173.20000000000152,29.9821,0.4233
-173.10000000000153,30.0244,0.4233
-173.00000000000153,30.0667,0.4232
-172.90000000000154,30.1091,0.4232
-172.80000000000155,30.1514,0.4232
-172.70000000000155,30.1937,0.4231
-172.60000000000156,30.2360,0.4231
-172.50000000000156,30.2783,0.4231
-172.40000000000157,30.3206,0.4230
-172.30000000000157,30.3629,0.4230
-172.20000000000158,30.4052,0.4230
-172.1000000000016,30.4475,0.4230
-172.0000000000016,30.4898,0.4229
-171.9000000000016,30.5321,0.4229
-171.8000000000016,30.5744,0.4229
-171.7000000000016,30.6167,0.4228
-171.60000000000161,30.6590,0.4228
-171.50000000000162,30.7012,0.4228
-171.40000000000163,30.7435,0.4227
-171.30000000000163,30.7858,0.4227
-171.20000000000164,30.8281,0.4227
-171.10000000000164,30.8703,0.4226
-171.00000000000165,30.9126,0.4226
-170.90000000000165,30.9548,0.4226
-170.80000000000166,30.9971,0.4226
-170.70000000000167,31.0394,0.4225
-170.60000000000167,31.0816,0.4225
-170.50000000000168,31.1239,0.4225
-170.40000000000168,31.1661,0.4224
-170.3000000000017,31.2083,0.4224
-170.2000000000017,31.2506,0.4224
-170.1000000000017,31.2928,0.4223
-170.0000000000017,31.3350,0.4223
-169.9000000000017,31.3773,0.4223
-169.80000000000172,31.4195,0.4223
-169.70000000000172,31.4617,0.4222
-169.60000000000173,31.5039,0.4222
-169.50000000000173,31.5462,0.4222
-169.40000000000174,31.5884,0.4221
-169.30000000000175,31.6306,0.4221
-169.20000000000175,31.6728,0.4221
-169.10000000000176,31.7150,0.4220
-169.00000000000176,31.7572,0.4220
-168.90000000000177,31.7994,0.4220
-168.80000000000177,31.8416,0.4219
-168.70000000000178,31.8838,0.4219
-168.60000000000178,31.9260,0.4219
-168.5000000000018,31.9682,0.4219
-168.4000000000018,32.0104,0.4218
-168.3000000000018,32.0525,0.4218
-168.2000000000018,32.0947,0.4218
-168.1000000000018,32.1369,0.4217
-168.00000000000182,32.1791,0.4217
-167.90000000000182,32.2212,0.4217
-167.80000000000183,32.2634,0.4216
-167.70000000000184,32.3056,0.4216
-167.60000000000184,32.3477,0.4216
-167.50000000000185,32.3899,0.4216
-167.40000000000185,32.4320,0.4215
-167.30000000000186,32.4742,0.4215
-167.20000000000186,32.5163,0.4215
-167.10000000000187,32.5585,0.4214
-167.00000000000188,32.6006,0.4214
-166.90000000000188,32.6428,0.4214
-166.8000000000019,32.6849,0.4214
-166.7000000000019,32.7270,0.4213
-166.6000000000019,32.7692,0.4213
-166.5000000000019,32.8113,0.4213
-166.4000000000019,32.8534,0.4212
-166.30000000000192,32.8955,0.4212
-166.20000000000192,32.9377,0.4212
-166.10000000000193,32.9798,0.4211
-166.00000000000193,33.0219,0.4211
-165.90000000000194,33.0640,0.4211
-165.80000000000194,33.1061,0.4211
-165.70000000000195,33.1482,0.4210
-165.60000000000196,33.1903,0.4210
-165.50000000000196,33.2324,0.4210
-165.40000000000197,33.2745,0.4209
-165.30000000000197,33.3166,0.4209
-165.20000000000198,33.3587,0.4209
-165.10000000000198,33.4008,0.4208
-165.000000000002,33.4429,0.4208
-164.900000000002,33.4849,0.4208
-164.800000000002,33.5270,0.4208
-164.700000000002,33.5691,0.4207
-164.600000000002,33.6112,0.4207
-164.50000000000202,33.6532,0.4207
-164.40000000000202,33.6953,0.4206
-164.30000000000203,33.7374,0.4206
-164.20000000000203,33.7794,0.4206
-164.10000000000204,33.8215,0.4206
-164.00000000000205,33.8635,0.4205
-163.90000000000205,33.9056,0.4205
-163.80000000000206,33.9476,0.4205
-163.70000000000206,33.9897,0.4204
-163.60000000000207,34.0317,0.4204
-163.50000000000207,34.0738,0.4204
-163.40000000000208,34.1158,0.4204
-163.3000000000021,34.1578,0.4203
-163.2000000000021,34.1999,0.4203
-163.1000000000021,34.2419,0.4203
-163.0000000000021,34.2839,0.4202
-162.9000000000021,34.3259,0.4202
-162.80000000000211,34.3680,0.4202
-162.70000000000212,34.4100,0.4202
-162.60000000000213,34.4520,0.4201
-162.50000000000213,34.4940,0.4201
-162.40000000000214,34.5360,0.4201
-162.30000000000214,34.5780,0.4200
-162.20000000000215,34.6200,0.4200
-162.10000000000215,34.6620,0.4200
-162.00000000000216,34.7040,0.4199
-161.90000000000217,34.7460,0.4199
-161.80000000000217,34.7880,0.4199
-161.70000000000218,34.8300,0.4199
-161.60000000000218,34.8720,0.4198
-161.5000000000022,34.9139,0.4198
-161.4000000000022,34.9559,0.4198
-161.3000000000022,34.9979,0.4197
-161.2000000000022,35.0399,0.4197
-161.1000000000022,35.0818,0.4197
-161.00000000000222,35.1238,0.4197
-160.90000000000222,35.1658,0.4196
-160.80000000000223,35.2077,0.4196
-160.70000000000223,35.2497,0.4196
-160.60000000000224,35.2917,0.4195
-160.50000000000225,35.3336,0.4195
-160.40000000000225,35.3756,0.4195
-160.30000000000226,35.4175,0.4195
-160.20000000000226,35.4594,0.4194
-160.10000000000227,35.5014,0.4194
-160.00000000000227,35.5433,0.4194
-159.90000000000228,35.5853,0.4193
-159.80000000000229,35.6272,0.4193
-159.7000000000023,35.6691,0.4193
-159.6000000000023,35.7111,0.4193
-159.5000000000023,35.7530,0.4192
-159.4000000000023,35.7949,0.4192
-159.3000000000023,35.8368,0.4192
-159.20000000000232,35.8787,0.4191
-159.10000000000232,35.9207,0.4191
-159.00000000000233,35.9626,0.4191
-158.90000000000234,36.0045,0.4191
-158.80000000000234,36.0464,0.4190
-158.70000000000235,36.0883,0.4190
-158.60000000000235,36.1302,0.4190
-158.50000000000236,36.1721,0.4190
-158.40000000000236,36.2140,0.4189
-158.30000000000237,36.2559,0.4189
-158.20000000000238,36.2977,0.4189
-158.10000000000238,36.3396,0.4188
-158.0000000000024,36.3815,0.4188
-157.9000000000024,36.4234,0.4188
-157.8000000000024,36.4653,0.4188
-157.7000000000024,36.5071,0.4187
-157.6000000000024,36.5490,0.4187
-157.50000000000242,36.5909,0.4187
-157.40000000000242,36.6327,0.4186
-157.30000000000243,36.6746,0.4186
-157.20000000000243,36.7165,0.4186
-157.10000000000244,36.7583,0.4186
-157.00000000000244,36.8002,0.4185
-156.90000000000245,36.8420,0.4185
-156.80000000000246,36.8839,0.4185
-156.70000000000246,36.9257,0.4184
-156.60000000000247,36.9676,0.4184
-156.50000000000247,37.0094,0.4184
-156.40000000000248,37.0513,0.4184
-156.30000000000248,37.0931,0.4183
-156.2000000000025,37.1349,0.4183
-156.1000000000025,37.1768,0.4183
-156.0000000000025,37.2186,0.4183
-155.9000000000025,37.2604,0.4182
-155.8000000000025,37.3022,0.4182
-155.70000000000252,37.3440,0.4182
-155.60000000000252,37.3859,0.4181
-155.50000000000253,37.4277,0.4181
-155.40000000000254,37.4695,0.4181
-155.30000000000254,37.5113,0.4181
-155.20000000000255,37.5531,0.4180
-155.10000000000255,37.5949,0.4180
-155.00000000000256,37.6367,0.4180
-154.90000000000256,37.6785,0.4180
-154.80000000000257,37.7203,0.4179
-154.70000000000258,37.7621,0.4179
-154.60000000000258,37.8039,0.4179
-154.5000000000026,37.8456,0.4178
-154.4000000000026,37.8874,0.4178
-154.3000000000026,37.9292,0.4178
-154.2000000000026,37.9710,0.4178
-154.1000000000026,38.0128,0.4177
-154.00000000000261,38.0545,0.4177
-153.90000000000262,38.0963,0.4177
-153.80000000000263,38.1381,0.4176
-153.70000000000263,38.1798,0.4176
-153.60000000000264,38.2216,0.4176
-153.50000000000264,38.2634,0.4176
-153.40000000000265,38.3051,0.4175
-153.30000000000265,38.3469,0.4175
-153.20000000000266,38.3886,0.4175
-153.10000000000267,38.4304,0.4175
-153.00000000000267,38.4721,0.4174
-152.90000000000268,38.5138,0.4174
-152.80000000000268,38.5556,0.4174
-152.7000000000027,38.5973,0.4174
-152.6000000000027,38.6391,0.4173
-152.5000000000027,38.6808,0.4173
-152.4000000000027,38.7225,0.4173
-152.3000000000027,38.7642,0.4172
-152.20000000000272,38.8060,0.4172
-152.10000000000272,38.8477,0.4172
-152.00000000000273,38.8894,0.4172
-151.90000000000273,38.9311,0.4171
-151.80000000000274,38.9728,0.4171
-151.70000000000275,39.0145,0.4171
-151.60000000000275,39.0562,0.4171
-151.50000000000276,39.0979,0.4170
-151.40000000000276,39.1396,0.4170
-151.30000000000277,39.1813,0.4170
-151.20000000000277,39.2230,0.4169
-151.10000000000278,39.2647,0.4169
-151.00000000000279,39.3064,0.4169
-150.9000000000028,39.3481,0.4169
-150.8000000000028,39.3898,0.4168
-150.7000000000028,39.4315,0.4168
-150.6000000000028,39.4732,0.4168
-150.5000000000028,39.5148,0.4168
-150.40000000000282,39.5565,0.4167
-150.30000000000283,39.5982,0.4167
-150.20000000000283,39.6399,0.4167
-150.10000000000284,39.6815,0.4167
-150.00000000000284,39.7232,0.4166
-149.90000000000285,39.7648,0.4166
-149.80000000000285,39.8065,0.4166
-149.70000000000286,39.8482,0.4165
-149.60000000000286,39.8898,0.4165
-149.50000000000287,39.9315,0.4165
-149.40000000000288,39.9731,0.4165
-149.30000000000288,40.0148,0.4164
-149.2000000000029,40.0564,0.4164
-149.1000000000029,40.0980,0.4164
-149.0000000000029,40.1397,0.4164
-148.9000000000029,40.1813,0.4163
-148.8000000000029,40.2229,0.4163
-148.70000000000292,40.2646,0.4163
-148.60000000000292,40.3062,0.4163
-148.50000000000293,40.3478,0.4162
-148.40000000000293,40.3894,0.4162
-148.30000000000294,40.4311,0.4162
-148.20000000000294,40.4727,0.4161
-148.10000000000295,40.5143,0.4161
-148.00000000000296,40.5559,0.4161
-147.90000000000296,40.5975,0.4161
-147.80000000000297,40.6391,0.4160
-147.70000000000297,40.6807,0.4160
-147.60000000000298,40.7223,0.4160
-147.50000000000298,40.7639,0.4160
-147.400000000003,40.8055,0.4159
-147.300000000003,40.8471,0.4159
-147.200000000003,40.8887,0.4159
-147.100000000003,40.9303,0.4159
-147.000000000003,40.9719,0.4158
-146.90000000000302,41.0135,0.4158
-146.80000000000302,41.0550,0.4158
-146.70000000000303,41.0966,0.4158
-146.60000000000304,41.1382,0.4157
-146.50000000000304,41.1798,0.4157
-146.40000000000305,41.2213,0.4157
-146.30000000000305,41.2629,0.4157
-146.20000000000306,41.3045,0.4156
-146.10000000000306,41.3460,0.4156
-146.00000000000307,41.3876,0.4156
-145.90000000000308,41.4291,0.4155
-145.80000000000308,41.4707,0.4155
-145.7000000000031,41.5122,0.4155
-145.6000000000031,41.5538,0.4155
-145.5000000000031,41.5953,0.4154
-145.4000000000031,41.6369,0.4154
-145.3000000000031,41.6784,0.4154
-145.20000000000312,41.7200,0.4154
-145.10000000000312,41.7615,0.4153
-145.00000000000313,41.8030,0.4153
-144.90000000000313,41.8446,0.4153
-144.80000000000314,41.8861,0.4153
-144.70000000000314,41.9276,0.4152
-144.60000000000315,41.9691,0.4152
-144.50000000000315,42.0106,0.4152
-144.40000000000316,42.0522,0.4152
-144.30000000000317,42.0937,0.4151
-144.20000000000317,42.1352,0.4151
-144.10000000000318,42.1767,0.4151
-144.00000000000318,42.2182,0.4151
-143.9000000000032,42.2597,0.4150
-143.8000000000032,42.3012,0.4150
-143.7000000000032,42.3427,0.4150
-143.6000000000032,42.3842,0.4150
-143.5000000000032,42.4257,0.4149
-143.40000000000322,42.4672,0.4149
-143.30000000000322,42.5087,0.4149
-143.20000000000323,42.5502,0.4149
-143.10000000000323,42.5917,0.4148
-143.00000000000324,42.6331,0.4148
-142.90000000000325,42.6746,0.4148
-142.80000000000325,42.7161,0.4148
-142.70000000000326,42.7576,0.4147
-142.60000000000326,42.7990,0.4147
-142.50000000000327,42.8405,0.4147
-142.40000000000327,42.8820,0.4147
-142.30000000000328,42.9234,0.4146
-142.20000000000329,42.9649,0.4146
-142.1000000000033,43.0064,0.4146
-142.0000000000033,43.0478,0.4146
-141.9000000000033,43.0893,0.4145
-141.8000000000033,43.1307,0.4145
-141.7000000000033,43.1722,0.4145
-141.60000000000332,43.2136,0.4145
-141.50000000000333,43.2551,0.4144
-141.40000000000333,43.2965,0.4144
-141.30000000000334,43.3379,0.4144
-141.20000000000334,43.3794,0.4144
-141.10000000000335,43.4208,0.4143
-141.00000000000335,43.4622,0.4143
-140.90000000000336,43.5037,0.4143
-140.80000000000337,43.5451,0.4143
-140.70000000000337,43.5865,0.4142
-140.60000000000338,43.6279,0.4142
-140.50000000000338,43.6694,0.4142
-140.4000000000034,43.7108,0.4142
-140.3000000000034,43.7522,0.4141
-140.2000000000034,43.7936,0.4141
-140.1000000000034,43.8350,0.4141
-140.0000000000034,43.8764,0.4141
-139.90000000000342,43.9178,0.4140
-139.80000000000342,43.9592,0.4140
-139.70000000000343,44.0006,0.4140
-139.60000000000343,44.0420,0.4140
-139.50000000000344,44.0834,0.4139
-139.40000000000344,44.1248,0.4139
-139.30000000000345,44.1662,0.4139
-139.20000000000346,44.2076,0.4139
-139.10000000000346,44.2490,0.4138
-139.00000000000347,44.2904,0.4138
-138.90000000000347,44.3317,0.4138
-138.80000000000348,44.3731,0.4138
-138.70000000000348,44.4145,0.4137
-138.6000000000035,44.4559,0.4137
-138.5000000000035,44.4972,0.4137
-138.4000000000035,44.5386,0.4137
-138.3000000000035,44.5800,0.4136
-138.2000000000035,44.6213,0.4136
-138.10000000000352,44.6627,0.4136
-138.00000000000352,44.7040,0.4136
-137.90000000000353,44.7454,0.4135
-137.80000000000354,44.7867,0.4135
-137.70000000000354,44.8281,0.4135
-137.60000000000355,44.8694,0.4135
-137.50000000000355,44.9108,0.4134
-137.40000000000356,44.9521,0.4134
-137.30000000000356,44.9935,0.4134
-137.20000000000357,45.0348,0.4134
-137.10000000000358,45.0761,0.4133
-137.00000000000358,45.1175,0.4133
-136.9000000000036,45.1588,0.4133
-136.8000000000036,45.2001,0.4133
-136.7000000000036,45.2414,0.4132
-136.6000000000036,45.2828,0.4132
-136.5000000000036,45.3241,0.4132
-136.40000000000362,45.3654,0.4132
-136.30000000000362,45.4067,0.4131
-136.20000000000363,45.4480,0.4131
-136.10000000000363,45.4893,0.4131
-136.00000000000364,45.5307,0.4131
-135.90000000000364,45.5720,0.4130
-135.80000000000365,45.6133,0.4130
-135.70000000000366,45.6546,0.4130
-135.60000000000366,45.6959,0.4130
-135.50000000000367,45.7372,0.4129
-135.40000000000367,45.7785,0.4129
-135.30000000000368,45.8197,0.4129
-135.20000000000368,45.8610,0.4129
-135.1000000000037,45.9023,0.4129
-135.0000000000037,45.9436,0.4128
-134.9000000000037,45.9849,0.4128
-134.8000000000037,46.0262,0.4128
-134.7000000000037,46.0674,0.4128
-134.60000000000372,46.1087,0.4127
-134.50000000000372,46.1500,0.4127
-134.40000000000373,46.1913,0.4127
-134.30000000000373,46.2325,0.4127
-134.20000000000374,46.2738,0.4126
-134.10000000000375,46.3150,0.4126
-134.00000000000375,46.3563,0.4126
-133.90000000000376,46.3976,0.4126
-133.80000000000376,46.4388,0.4125
-133.70000000000377,46.4801,0.4125
-133.60000000000377,46.5213,0.4125
-133.50000000000378,46.5626,0.4125
-133.40000000000379,46.6038,0.4124
-133.3000000000038,46.6451,0.4124
-133.2000000000038,46.6863,0.4124
-133.1000000000038,46.7275,0.4124
-133.0000000000038,46.7688,0.4123
-132.9000000000038,46.8100,0.4123
-132.80000000000382,46.8512,0.4123
-132.70000000000383,46.8925,0.4123
-132.60000000000383,46.9337,0.4123
-132.50000000000384,46.9749,0.4122
-132.40000000000384,47.0161,0.4122
-132.30000000000385,47.0574,0.4122
-132.20000000000385,47.0986,0.4122
-132.10000000000386,47.1398,0.4121
-132.00000000000387,47.1810,0.4121
-131.90000000000387,47.2222,0.4121
-131.80000000000388,47.2634,0.4121
-131.70000000000388,47.3046,0.4120
-131.6000000000039,47.3458,0.4120
-131.5000000000039,47.3870,0.4120
-131.4000000000039,47.4282,0.4120
-131.3000000000039,47.4694,0.4119
-131.2000000000039,47.5106,0.4119
-131.10000000000392,47.5518,0.4119
-131.00000000000392,47.5930,0.4119
-130.90000000000393,47.6342,0.4119
-130.80000000000393,47.6754,0.4118
-130.70000000000394,47.7165,0.4118
-130.60000000000394,47.7577,0.4118
-130.50000000000395,47.7989,0.4118
-130.40000000000396,47.8401,0.4117
-130.30000000000396,47.8813,0.4117
-130.20000000000397,47.9224,0.4117
-130.10000000000397,47.9636,0.4117
-130.00000000000398,48.0048,0.4116
-129.90000000000398,48.0459,0.4116
-129.800000000004,48.0871,0.4116
-129.700000000004,48.1282,0.4116
-129.600000000004,48.1694,0.4115
-129.500000000004,48.2105,0.4115
-129.400000000004,48.2517,0.4115
-129.30000000000402,48.2928,0.4115
-129.20000000000402,48.3340,0.4115
-129.10000000000403,48.3751,0.4114
-129.00000000000404,48.4163,0.4114
-128.90000000000404,48.4574,0.4114
-128.80000000000405,48.4986,0.4114
-128.70000000000405,48.5397,0.4113
-128.60000000000406,48.5808,0.4113
-128.50000000000406,48.6220,0.4113
-128.40000000000407,48.6631,0.4113
-128.30000000000408,48.7042,0.4112
-128.20000000000408,48.7453,0.4112
-128.1000000000041,48.7865,0.4112
-128.0000000000041,48.8276,0.4112
-127.9000000000041,48.8687,0.4112
-127.8000000000041,48.9098,0.4111
-127.70000000000411,48.9509,0.4111
-127.60000000000412,48.9920,0.4111
-127.50000000000412,49.0331,0.4111
-127.40000000000413,49.0742,0.4110
-127.30000000000413,49.1153,0.4110
-127.20000000000414,49.1564,0.4110
-127.10000000000414,49.1975,0.4110
-127.00000000000415,49.2386,0.4109
-126.90000000000416,49.2797,0.4109
